Account,Site,Location,Notification Email,Notification Name
Boston University,BU Med 700,"700 Albany St , Boston, MA, 02118, US",casella.peabody.service.requests@casella.com,Device Full (On-Site and Hauler)
Boston University,BU Med 700,"700 Albany St , Boston, MA, 02118, US",thomas.segearjr@casella.com,Device Full (On-Site and Hauler)
Boston University,BU Med 700,"700 Albany St , Boston, MA, 02118, US",srhealey@bu.edu,Device Full (On-Site and Hauler)
Boston University,Boston University - 120 ASHFORD,"120 Ashford St , Boston, MA, 02215, US",buresourcemanage@casella.com,Device Advanced Full (Hauler)
Boston University,Boston University - 120 ASHFORD,"120 Ashford St , Boston, MA, 02215, US",limerick@bu.edu,Device Empty (On-Site)
Boston University,Boston University - 120 ASHFORD,"120 Ashford St , Boston, MA, 02215, US",buresourcemanage@casella.com,Device Full (On-Site and Hauler)
Boston University,Boston University - 120 ASHFORD,"120 Ashford St , Boston, MA, 02215, US",limerick@bu.edu,Device Full (On-Site and Hauler)
Boston University,Boston University - 120 ASHFORD,"120 Ashford St , Boston, MA, 02215, US",wchainey@bu.edu,Device Full (On-Site and Hauler)
Boston University,Boston University - 120 ASHFORD,"120 Ashford St , Boston, MA, 02215, US",thomas.segearjr@casella.com,Device Full (On-Site and Hauler)
Boston University,Boston University - 120 ASHFORD,"120 Ashford St , Boston, MA, 02215, US",srhealey@bu.edu,Device Full (On-Site and Hauler)
